transaction_id,customer_id,amount,transaction_type,transaction_time
1,1754,25087.01,transfer,2026-05-12 15:25:21
2,1369,4646.69,deposit,2025-09-15 18:58:07
3,1831,94627.45,deposit,2025-06-25 02:00:08
4,3528,19536.45,transfer,2025-08-24 22:10:01
5,2246,91384.17,transfer,2026-05-29 23:35:29
6,1540,75957.62,deposit,2025-07-28 17:17:08
7,4473,32911.24,deposit,2026-02-24 14:42:59
8,1470,44498.22,deposit,2026-05-09 01:21:36
9,1876,1056.35,deposit,2026-03-24 09:05:21
10,2598,55183.77,deposit,2026-01-01 01:14:19
11,4132,9013.67,transfer,2026-01-12 15:19:55
12,3326,80224.48,deposit,2025-07-11 07:11:12
13,1983,53551.56,withdrawal,2025-12-13 03:24:54
14,1523,54204.22,deposit,2025-12-18 08:45:27
15,1185,14641.92,withdrawal,2025-06-25 06:43:55
16,2931,15780.18,deposit,2025-09-02 21:21:59
17,608,35362.29,transfer,2025-11-25 20:02:51
18,1061,43722.25,deposit,2025-12-01 00:49:33
19,3217,72789.79,transfer,2025-11-09 11:34:58
20,960,81674.03,transfer,2025-06-26 19:01:19
21,3211,38371.51,transfer,2026-02-01 04:30:40
22,3833,35981.75,deposit,2025-08-25 03:51:46
23,3684,65417.79,withdrawal,2025-11-30 04:55:16
24,2060,19544.33,withdrawal,2025-09-14 14:35:54
25,278,52156.44,withdrawal,2026-01-03 03:23:49
26,3704,60349.43,deposit,2025-07-26 19:45:14
27,496,94022.27,deposit,2026-05-20 21:20:16
28,4107,77977.35,transfer,2025-12-21 02:53:06
29,4287,92004.79,deposit,2026-05-15 06:56:34
30,4706,72145.41,transfer,2025-10-31 18:48:49
31,518,27056.95,withdrawal,2026-06-11 16:29:43
32,4341,60312.28,deposit,2026-04-20 21:07:12
33,536,61455.79,withdrawal,2025-12-30 16:57:39
34,791,39568.44,transfer,2026-03-01 13:06:38
35,3217,73731.9,withdrawal,2025-09-14 03:24:18
36,3012,28370.51,transfer,2026-04-27 08:51:32
37,1658,42877.56,withdrawal,2025-11-26 23:44:43
38,1912,21994.95,transfer,2026-03-20 07:37:11
39,3637,55983.52,deposit,2025-09-04 06:52:16
40,4345,37300.53,transfer,2025-07-12 09:10:21
41,2316,27307.89,deposit,2025-12-24 16:13:28
42,557,67026.41,transfer,2026-02-22 23:02:16
43,3176,69931.52,transfer,2025-12-20 06:12:36
44,1195,35910.44,transfer,2026-05-05 21:19:35
45,4942,41182.43,transfer,2025-10-14 20:25:27
46,3936,85144.2,withdrawal,2026-06-16 10:26:35
47,3720,56442.05,transfer,2025-10-08 02:27:34
48,452,3773.2,transfer,2026-01-31 15:15:41
49,2099,80681.41,withdrawal,2025-10-31 17:50:53
50,358,52715.39,deposit,2026-04-11 18:59:54
51,2581,33863.43,deposit,2025-10-04 18:14:33
52,3594,4389.17,withdrawal,2026-01-18 11:14:52
53,3293,96483.58,withdrawal,2026-04-28 06:41:51
54,763,59046.4,transfer,2025-07-13 16:14:57
55,1696,44490.63,withdrawal,2026-04-27 12:09:36
56,6,92817.6,deposit,2025-10-15 12:09:05
57,2991,56125.41,deposit,2025-11-08 18:51:39
58,3677,96495.27,withdrawal,2026-06-10 15:30:14
59,2323,29335.29,transfer,2026-05-14 01:59:33
60,3012,43766.15,withdrawal,2025-09-10 02:24:26
61,2208,32079.09,deposit,2025-08-16 22:08:16
62,4556,75537.32,withdrawal,2026-01-21 01:33:10
63,2636,11165.78,transfer,2026-05-05 18:09:39
64,937,19823.58,withdrawal,2026-05-21 12:01:22
65,2114,61104.73,withdrawal,2026-01-21 02:23:55
66,1072,88343.8,withdrawal,2025-10-15 17:03:22
67,2792,70837.2,withdrawal,2025-11-09 01:17:41
68,451,30867.16,transfer,2025-08-09 04:55:43
69,982,562.64,withdrawal,2025-07-01 23:47:40
70,2475,83194.25,deposit,2025-08-25 21:10:24
71,826,33170.69,transfer,2025-09-09 20:40:27
72,153,13072.76,transfer,2026-05-04 05:14:07
73,1102,52612.46,deposit,2025-09-12 12:25:36
74,3536,66231.34,deposit,2025-08-08 14:56:31
75,3722,79760.32,withdrawal,2026-05-27 19:58:09
76,2741,16864.98,deposit,2025-10-02 23:50:12
77,3000,35276.68,transfer,2026-03-03 03:29:31
78,3616,61003.51,deposit,2026-04-17 07:30:17
79,4987,29848.53,withdrawal,2026-06-07 17:59:27
80,1657,18811.9,deposit,2025-10-11 19:03:22
81,3168,93473.54,deposit,2026-03-21 15:30:48
82,3497,57553.87,deposit,2025-10-08 07:52:16
83,2594,5894.64,transfer,2025-06-30 09:56:36
84,2328,30122.63,deposit,2026-01-05 15:20:53
85,3578,66270.93,withdrawal,2025-11-02 17:20:19
86,4043,94394.63,deposit,2025-08-19 08:55:56
87,2920,40457.77,transfer,2026-05-18 02:58:16
88,2969,29660.87,deposit,2026-03-04 21:33:10
89,4616,19657.72,transfer,2025-06-21 20:23:47
90,1759,84094.8,deposit,2025-09-26 17:46:17
91,992,87466.84,transfer,2026-06-15 01:28:31
92,1103,41627.71,withdrawal,2025-07-21 03:51:27
93,4233,48000.18,withdrawal,2025-12-24 08:50:47
94,1025,55484.55,transfer,2025-10-30 08:47:34
95,3520,81869.02,withdrawal,2025-07-03 21:29:35
